ID,height(cm),weight(kg)
user_560,158.3,68.6
user_561,180.6,90.3
user_562,171.8,74.2
user_563,137.5,80.6
user_564,173.1,103.8
user_565,187.8,84.6
user_566,157.0,89.4
user_567,169.7,96.2
user_568,136.7,75.5
user_569,135.2,80.5
user_570,161.5,103.3
user_571,174.0,83.8
user_572,139.7,61.8
user_573,134.9,73.2
user_574,135.4,74.4
user_575,166.1,76.9
user_576,137.4,100.2
user_577,178.6,60.5
user_578,135.0,73.2
user_579,134.9,68.2
user_580,155.2,89.1
user_581,168.8,63.1
user_582,138.5,70.9
user_583,145.4,73.3
user_584,137.8,67.5
user_585,136.0,87.7
user_586,172.7,96.1
user_587,152.4,91.9
user_588,176.3,90.0
user_589,161.7,76.7
user_590,141.3,89.5
user_591,147.1,78.4
user_592,161.1,86.7
user_593,148.3,81.8
user_594,144.2,106.5
user_595,155.4,68.4
user_596,154.8,101.4
user_597,142.6,68.5
user_598,134.6,95.2
user_599,140.6,79.3
user_600,133.4,69.6
user_601,132.2,81.9
user_602,156.2,107.0
user_603,135.8,69.5
user_604,131.3,88.1
user_605,173.3,77.2
user_606,170.8,102.7
user_607,149.1,74.2
user_608,164.1,85.5
user_609,189.9,68.2
user_610,182.5,98.5
user_611,139.2,91.6
user_612,169.9,62.0
user_613,132.8,84.7
user_614,185.6,72.1
user_615,151.6,69.2
user_616,136.1,60.3
user_617,183.8,71.8
user_618,154.9,67.6
user_619,146.1,93.5
user_620,133.7,73.0
user_621,155.6,67.8
user_622,150.9,88.4
user_623,145.8,90.8
user_624,132.2,72.9
user_625,171.0,74.9
user_626,167.4,105.0
user_627,139.6,78.4
user_628,137.6,62.2
user_629,138.7,77.8
user_630,158.1,69.9
user_631,134.6,83.3
user_632,148.1,70.9
user_633,135.5,103.0
user_634,155.2,98.1
user_635,149.2,83.6
user_636,173.8,103.5
user_637,169.4,80.8
user_638,177.6,85.6
user_639,158.3,71.1
user_640,154.5,62.6
user_641,169.6,60.8
user_642,173.0,60.1
user_643,167.8,69.9
user_644,148.4,68.8
user_645,140.8,90.2
user_646,152.5,81.9
user_647,176.6,93.2
user_648,149.4,64.5
user_649,161.3,89.4
user_650,169.1,90.5
user_651,148.4,84.6
user_652,148.9,61.0
user_653,135.5,96.9
user_654,161.0,96.7
user_655,141.4,65.2
user_656,149.5,80.9
user_657,156.5,98.9
user_658,185.1,80.7
user_659,169.1,63.0
user_660,158.2,79.0
user_661,130.5,75.3
user_662,153.6,88.5
user_663,166.5,90.3
user_664,175.7,90.1
user_665,155.9,83.5
user_666,136.6,76.8
user_667,182.1,101.1
user_668,180.8,75.8
user_669,159.9,70.2
user_670,138.1,80.0
user_671,152.4,76.5
user_672,168.3,87.9
user_673,138.8,86.2
user_674,155.5,78.5
user_675,185.0,89.7
user_676,144.8,78.6
user_677,150.1,77.0
user_678,155.7,63.4
user_679,175.0,108.1
user_680,166.4,97.4
user_681,136.9,87.2
user_682,183.5,67.3
user_683,136.9,76.6
user_684,146.3,100.4
user_685,143.3,104.0
user_686,148.8,87.6
user_687,146.5,82.0
user_688,181.9,74.3
user_689,157.6,63.3
user_690,136.5,70.9
user_691,132.1,104.9
user_692,167.8,72.0
user_693,130.7,87.5
user_694,139.9,94.0
user_695,155.3,68.7
user_696,145.5,84.0
user_697,137.5,82.9
user_698,153.6,89.1
user_699,159.2,106.9
user_700,139.8,92.2
user_701,140.1,91.8
user_702,164.3,77.6
user_703,150.7,99.9
user_704,143.3,86.5
user_705,157.0,84.7
user_706,153.0,80.5
user_707,184.0,77.7
user_708,151.3,65.1
user_709,183.7,79.9
user_710,176.1,87.8
user_711,171.2,80.2
user_712,155.4,95.5
user_713,135.0,92.6
user_714,150.9,105.0
user_715,178.0,95.6
user_716,134.7,85.0
user_717,155.0,102.2
user_718,146.9,100.0
user_719,147.8,101.4
user_720,174.7,74.8
user_721,157.4,76.5
user_722,138.3,109.6
user_723,148.5,97.4
user_724,149.1,101.5
user_725,165.2,61.3
user_726,133.4,100.9
user_727,170.5,89.3
user_728,188.7,93.8
user_729,140.0,90.0
user_730,184.5,73.0
user_731,140.1,101.3
user_732,145.7,77.2
user_733,150.6,72.7
user_734,167.4,85.2
user_735,169.0,75.1
user_736,136.9,94.8
user_737,152.6,104.8
user_738,135.3,69.8
user_739,139.2,90.5
user_740,141.4,94.5
user_741,186.8,101.9
user_742,136.1,80.7
user_743,139.6,107.4
user_744,167.8,77.1
user_745,141.0,86.8
user_746,153.5,74.6
user_747,169.1,96.6
user_748,157.6,93.3
user_749,140.3,75.2
user_750,176.1,71.8
user_751,151.3,93.1
user_752,170.6,65.9
user_753,130.4,68.9
user_754,158.2,87.8
user_755,161.5,62.7
user_756,163.6,83.0
user_757,142.5,92.1
user_758,158.6,95.0
user_759,166.5,84.9
user_760,175.6,100.5
user_761,134.1,97.8
user_762,149.7,78.8
user_763,174.7,97.5
user_764,159.0,98.4
user_765,145.6,82.5
user_766,153.8,67.2
user_767,159.9,70.4
user_768,136.4,72.8
user_769,146.7,63.9
user_770,177.8,82.3
user_771,148.6,64.0
user_772,131.3,96.1
user_773,148.7,80.0
user_774,170.9,61.9
user_775,149.6,103.0
user_776,144.1,82.9
user_777,167.6,101.0
user_778,156.8,96.5
user_779,161.8,66.9
user_780,188.0,87.0
user_781,135.7,60.0
user_782,164.1,67.4
user_783,132.3,85.2
user_784,147.4,92.1
user_785,188.7,85.0
user_786,132.3,78.1
user_787,163.9,94.9
user_788,148.2,88.1
user_789,151.1,93.3
user_790,173.1,65.3
user_791,167.5,86.2
user_792,134.2,88.4
user_793,159.6,70.8
user_794,145.4,93.9
user_795,153.2,74.8
user_796,175.8,78.8
user_797,185.6,89.6
user_798,172.2,100.3
user_799,140.5,92.8
user_800,145.2,94.1
user_801,159.9,61.0
user_802,158.7,100.8
user_803,151.0,78.5
user_804,139.2,106.4
user_805,133.9,67.0
user_806,164.4,74.2
user_807,154.9,91.5
user_808,161.8,75.6
user_809,143.3,86.8
user_810,172.8,76.3
user_811,148.2,106.7
user_812,156.7,73.5
user_813,171.0,98.4
user_814,166.5,79.0
user_815,148.3,108.1
user_816,156.1,83.2
user_817,130.3,97.8
user_818,135.1,98.9
user_819,158.3,61.7
user_820,170.4,69.6
user_821,156.7,80.9
user_822,156.2,60.7
user_823,155.1,69.3
user_824,155.9,62.9
user_825,179.2,96.1
user_826,155.0,81.5
user_827,165.5,72.4
user_828,151.7,97.8
user_829,147.2,98.0
user_830,177.4,67.5
user_831,171.9,102.2
user_832,144.8,80.8
user_833,172.3,69.5
user_834,188.0,103.4
user_835,150.1,60.3
user_836,188.9,70.1
user_837,137.5,102.5
user_838,131.9,80.5
user_839,157.9,109.0
user_840,144.3,107.1
user_841,157.1,100.7
user_842,156.8,79.7
user_843,155.0,89.4
user_844,159.7,80.2
user_845,140.5,65.9
user_846,146.3,95.8
user_847,169.9,86.4
user_848,157.1,70.6
user_849,173.5,72.1
user_850,152.2,91.2
user_851,143.5,85.3
user_852,154.2,75.5
user_853,138.7,83.5
user_854,150.0,70.7
user_855,160.6,95.6
user_856,136.0,70.0
user_857,135.1,84.7
user_858,158.6,65.9
user_859,154.3,90.4
user_860,155.5,102.6
user_861,186.3,77.0
user_862,171.0,86.3
user_863,144.3,79.3
user_864,159.5,82.1
user_865,172.2,73.5
user_866,181.9,86.3
user_867,156.1,64.9
user_868,159.5,95.3
user_869,180.8,76.2
user_870,168.5,80.9
user_871,150.7,98.2
user_872,133.3,70.0
user_873,140.1,91.6
user_874,138.2,107.1
user_875,159.4,100.7
user_876,161.0,84.9
user_877,147.1,109.6
user_878,167.9,79.3
user_879,163.0,80.1
user_880,162.9,100.5
user_881,131.4,65.2
user_882,139.6,96.1
user_883,143.3,92.3
user_884,161.0,73.0
user_885,161.0,95.2
user_886,141.9,86.6
user_887,164.0,67.7
user_888,139.6,67.7
user_889,135.5,84.5
user_890,175.4,106.9
user_891,147.0,62.9
user_892,150.8,77.0
user_893,145.8,65.5
user_894,130.8,88.0
user_895,157.5,96.7
user_896,146.3,98.1
user_897,180.8,99.4
user_898,158.8,94.6
user_899,180.4,86.9
user_900,154.1,90.1
user_901,173.1,60.7
user_902,156.3,89.2
user_903,157.8,81.1
user_904,159.6,66.3
user_905,155.8,68.2
user_906,177.5,63.0
user_907,151.0,101.1
user_908,149.6,93.2
user_909,159.5,65.9
user_910,147.6,92.9
user_911,180.5,74.5
user_912,181.7,85.0
user_913,164.8,70.5
user_914,169.9,100.0
user_915,173.7,87.4
user_916,136.4,64.3
user_917,149.5,67.7
user_918,179.2,79.9
user_919,178.2,101.1
user_920,182.0,87.8
user_921,153.6,68.1
user_922,159.5,75.5
user_923,168.6,82.1
user_924,167.1,87.7
user_925,161.4,77.8
user_926,155.2,78.0
user_927,146.6,90.3
user_928,159.1,64.5
user_929,145.0,103.2
user_930,156.6,60.2
user_931,130.3,89.8
user_932,171.0,76.3
user_933,146.2,73.9
user_934,136.5,86.4
user_935,160.3,62.9
user_936,157.5,60.9
user_937,149.1,90.4
user_938,167.5,73.6
user_939,174.2,69.4
user_940,133.1,100.4
user_941,154.2,61.5
user_942,130.2,79.2
user_943,131.7,89.0
user_944,149.9,89.0
user_945,169.1,98.8
user_946,184.6,95.8
user_947,149.3,63.8
user_948,147.5,77.4
user_949,172.7,62.3
user_950,184.7,98.0
user_951,167.5,97.0
user_952,159.2,94.7
user_953,155.0,86.9
user_954,159.8,103.0
user_955,139.0,84.6
user_956,161.8,81.7
user_957,171.3,96.3
user_958,173.0,78.4
user_959,135.4,99.2
user_960,140.9,63.5
user_961,186.7,67.3
user_962,149.8,81.2
user_963,161.3,94.9
user_964,146.0,86.0
user_965,162.0,68.5
user_966,175.1,71.5
user_967,159.9,92.1
user_968,149.5,61.9
user_969,156.5,64.8
user_970,179.7,77.9
user_971,143.2,74.6
user_972,132.5,72.7
user_973,140.1,81.7
user_974,155.6,85.9
user_975,156.9,77.1
user_976,139.5,98.6
user_977,165.4,70.3
user_978,133.9,69.8
user_979,140.7,71.8
user_980,180.4,87.2
user_981,159.0,99.6
user_982,159.5,66.9
user_983,134.2,65.1
user_984,149.5,89.3
user_985,163.7,60.5
user_986,155.5,93.2
user_987,147.5,92.3
user_988,153.6,89.4
user_989,164.7,80.6
user_990,175.3,101.0
user_991,139.0,93.7
user_992,141.5,86.5
user_993,149.5,105.9
user_994,146.2,106.8
user_995,148.3,83.6
user_996,150.8,81.6
user_997,182.6,71.1
user_998,160.5,105.0
user_999,131.4,70.1
user_1000,152.7,87.5
user_1001,149.6,78.9
user_1002,141.4,87.3
user_1003,164.2,88.6
user_1004,152.7,90.6
user_1005,168.9,71.9
user_1006,149.1,105.8
user_1007,151.4,106.7
user_1008,175.8,86.3
user_1009,175.6,97.0
user_1010,145.2,94.8
user_1011,146.0,65.2
user_1012,159.6,81.9
user_1013,156.4,94.0
user_1014,160.1,71.4
user_1015,163.7,77.1
user_1016,163.9,96.5
user_1017,176.5,72.9
user_1018,160.2,62.6
user_1019,154.6,64.2
user_1020,140.5,77.7
user_1021,133.1,81.1
user_1022,149.2,97.7
user_1023,170.5,106.9
user_1024,146.0,60.5
user_1025,132.4,94.3
user_1026,146.6,81.8
user_1027,145.9,100.3
user_1028,139.6,89.9
user_1029,134.2,89.3
user_1030,147.1,88.2
user_1031,143.3,77.2
user_1032,148.7,84.8
user_1033,136.7,74.7
user_1034,130.3,86.4
user_1035,133.9,67.4
user_1036,163.6,102.3
user_1037,165.3,80.9
user_1038,137.5,96.1
user_1039,144.2,74.7
user_1040,140.0,104.7
user_1041,141.2,80.7
user_1042,168.1,94.7
user_1043,143.0,64.3
user_1044,133.1,97.7
user_1045,131.8,70.3
user_1046,165.9,94.9
user_1047,153.2,69.6
user_1048,152.6,87.3
user_1049,159.2,107.6
user_1050,153.4,91.0
user_1051,154.2,67.6
user_1052,136.3,91.1
user_1053,141.9,74.9
user_1054,133.1,87.4
user_1055,143.1,97.6
user_1056,178.5,68.9
user_1057,156.2,74.9
user_1058,137.6,97.6
user_1059,165.2,72.0
user_1060,149.1,73.7
user_1061,160.6,78.5
user_1062,143.1,76.7
user_1063,142.9,72.8
user_1064,135.1,71.2
user_1065,136.5,104.3
user_1066,149.1,88.1
user_1067,180.2,61.5
user_1068,141.4,97.6
user_1069,153.4,65.7
user_1070,156.6,73.5
user_1071,136.8,64.2
user_1072,183.6,100.8
user_1073,144.7,102.3
user_1074,131.8,99.0
user_1075,140.9,61.7
user_1076,173.9,89.0
user_1077,131.9,92.8
user_1078,144.5,64.2
user_1079,159.7,60.2
user_1080,173.1,106.6
user_1081,154.6,74.8
user_1082,134.0,92.8
user_1083,142.7,88.2
user_1084,161.4,95.8
user_1085,137.8,89.1
user_1086,175.8,95.4
user_1087,163.4,76.2
user_1088,157.4,69.8
user_1089,168.5,92.4
user_1090,135.2,104.7
user_1091,149.4,83.2
user_1092,138.0,75.9
user_1093,154.7,102.2
user_1094,130.9,66.7
user_1095,187.5,64.7
user_1096,146.8,88.8
user_1097,181.8,94.4
user_1098,176.8,102.4
user_1099,160.5,60.3
user_1100,162.8,63.8
user_1101,165.8,66.3
user_1102,139.1,99.7
user_1103,152.4,75.5
user_1104,151.6,83.3
user_1105,169.6,89.4
user_1106,157.6,84.0
user_1107,143.1,88.0
user_1108,161.2,101.3
user_1109,142.8,101.7
user_1110,164.9,108.4
user_1111,163.5,80.2
user_1112,165.2,68.1
user_1113,148.0,82.5
user_1114,166.1,68.2
user_1115,170.5,68.3
user_1116,130.9,82.3
user_1117,163.2,77.4
user_1118,176.2,74.6
user_1119,145.3,70.7
user_1120,140.7,61.2
user_1121,131.1,84.4
user_1122,152.2,71.1
user_1123,144.2,74.0
user_1124,154.0,103.1
user_1125,169.7,81.2
user_1126,159.0,86.1
user_1127,138.6,87.5
user_1128,153.6,69.2
user_1129,164.8,74.4
user_1130,177.5,103.0
user_1131,144.0,98.3
user_1132,137.9,62.1
user_1133,181.9,99.6
user_1134,145.0,74.8
user_1135,150.9,95.1
user_1136,156.6,72.7
user_1137,139.6,87.0
user_1138,149.8,89.6
user_1139,150.1,98.5
user_1140,154.2,64.8
user_1141,153.6,90.5
user_1142,149.0,96.3
user_1143,156.6,67.2
user_1144,159.5,86.7
user_1145,161.3,101.5
user_1146,171.5,85.6
user_1147,170.6,69.0
user_1148,142.8,83.7
user_1149,172.5,76.8
user_1150,130.9,82.7
user_1151,185.7,65.3
