학교명,시도,학교세부유형,일반학급_학생수_계,교원수_총계_계
은평고등학교,서울,일반고등학교,480,51
진관고등학교,서울,일반고등학교,811,72
신도림고등학교,서울,일반고등학교,559,63
수명고등학교,서울,일반고등학교,501,55
성수고등학교,서울,일반고등학교,452,52
솔샘고등학교,서울,일반고등학교,533,61
강일고등학교,서울,일반고등학교,547,56
문현고등학교,서울,일반고등학교,613,62
신도고등학교,서울,일반고등학교,590,61
선사고등학교,서울,일반고등학교,638,57
삼각산고등학교,서울,일반고등학교,615,61
구암고등학교,서울,일반고등학교,571,55
잠일고등학교,서울,일반고등학교,418,51
휘봉고등학교,서울,일반고등학교,442,52
가재울고등학교,서울,일반고등학교,642,63
도선고등학교,서울,일반고등학교,465,57
금호고등학교,서울,일반고등학교,431,54
강동고등학교,서울,일반고등학교,672,54
강서고등학교,서울,일반고등학교,1014,70
건국대학교사범대학부속고등학교,서울,일반고등학교,986,79
경문고등학교,서울,일반고등학교,649,51
경성고등학교,서울,일반고등학교,639,58
경신고등학교,서울,일반고등학교,463,54
경희고등학교,서울,일반고등학교,726,57
고려대학교사범대학부속고등학교,서울,일반고등학교,694,60
광문고등학교,서울,일반고등학교,1104,83
광성고등학교,서울,일반고등학교,738,65
광신고등학교,서울,일반고등학교,515,51
광영고등학교,서울,일반고등학교,839,76
남강고등학교,서울,일반고등학교,660,60
단국대학교사범대학부속고등학교,서울,일반고등학교,1096,84
대광고등학교,서울,일반고등학교,758,54
대성고등학교,서울,일반고등학교,786,71
대신고등학교,서울,일반고등학교,363,54
대원고등학교,서울,일반고등학교,711,58
대일고등학교,서울,일반고등학교,1000,78
대진고등학교,서울,일반고등학교,782,76
동국대학교사범대학부속고등학교,서울,일반고등학교,922,73
동북고등학교,서울,일반고등학교,959,83
동성고등학교,서울,일반고등학교,568,64
마포고등학교,서울,일반고등학교,767,65
명덕고등학교,서울,일반고등학교,750,64
명지고등학교,서울,일반고등학교,1296,100
문일고등학교,서울,일반고등학교,840,76
배명고등학교,서울,일반고등학교,827,74
성덕고등학교,서울,일반고등학교,679,54
배문고등학교,서울,일반고등학교,350,45
배재고등학교,서울,일반고등학교,1240,81
백암고등학교,서울,일반고등학교,1009,81
보성고등학교,서울,일반고등학교,769,69
상문고등학교,서울,일반고등학교,1167,94
서라벌고등학교,서울,일반고등학교,1031,82
서울미술고등학교,서울,일반고등학교,518,37
서울세종고등학교,서울,일반고등학교,548,57
덕수고등학교(일반고),서울,일반고등학교,609,55
선덕고등학교,서울,일반고등학교,1129,71
선정고등학교,서울,일반고등학교,1116,87
성남고등학교,서울,일반고등학교,1003,75
성보고등학교,서울,일반고등학교,639,52
세화고등학교,서울,일반고등학교,1060,79
송곡고등학교,서울,일반고등학교,667,60
숭문고등학교,서울,일반고등학교,542,52
숭실고등학교,서울,일반고등학교,1054,86
신일고등학교,서울,일반고등학교,997,65
양정고등학교,서울,일반고등학교,1020,71
양천고등학교,서울,일반고등학교,906,71
영동고등학교,서울,일반고등학교,749,73
영락고등학교,서울,일반고등학교,536,50
영일고등학교,서울,일반고등학교,757,73
영훈고등학교,서울,일반고등학교,1008,79
오산고등학교,서울,일반고등학교,432,47
용문고등학교,서울,일반고등학교,860,76
우신고등학교,서울,일반고등학교,732,59
인창고등학교,서울,일반고등학교,448,54
장충고등학교,서울,일반고등학교,360,40
장훈고등학교,서울,일반고등학교,516,46
재현고등학교,서울,일반고등학교,826,77
중동고등학교,서울,일반고등학교,1089,79
중산고등학교,서울,일반고등학교,882,74
중앙고등학교,서울,일반고등학교,835,63
중앙대학교사범대학부속고등학교,서울,일반고등학교,996,79
청원고등학교,서울,일반고등학교,1084,96
충암고등학교,서울,일반고등학교,1080,86
한가람고등학교,서울,일반고등학교,540,43
한광고등학교,서울,일반고등학교,234,27
한국삼육고등학교,서울,일반고등학교,447,48
한서고등학교,서울,일반고등학교,599,59
한성고등학교,서울,일반고등학교,417,51
한영고등학교,서울,일반고등학교,1114,83
현대고등학교,서울,일반고등학교,1058,77
홍익대학교사범대학부속고등학교,서울,일반고등학교,288,40
화곡고등학교,서울,일반고등학교,714,64
환일고등학교,서울,일반고등학교,474,61
휘문고등학교,서울,일반고등학교,1223,79
경복여자고등학교,서울,일반고등학교,604,53
경희여자고등학교,서울,일반고등학교,369,49
계성고등학교,서울,일반고등학교,815,71
광영여자고등학교,서울,일반고등학교,848,77
이화여자대학교사범대학부속이화금란고등학교,서울,일반고등학교,1101,82
대원여자고등학교,서울,일반고등학교,663,58
대진여자고등학교,서울,일반고등학교,844,84
덕성여자고등학교,서울,일반고등학교,612,66
덕원여자고등학교,서울,일반고등학교,915,86
동덕여자고등학교,서울,일반고등학교,870,80
동명여자고등학교,서울,일반고등학교,845,78
동일여자고등학교,서울,일반고등학교,622,69
명덕여자고등학교,서울,일반고등학교,1034,82
동국대학교사범대학부속여자고등학교,서울,일반고등학교,635,61
서울문영여자고등학교,서울,일반고등학교,621,63
미림여자고등학교,서울,일반고등학교,508,49
배화여자고등학교,서울,일반고등학교,510,64
보성여자고등학교,서울,일반고등학교,378,47
보인고등학교,서울,일반고등학교,1103,72
상명대학교사범대학부속여자고등학교,서울,일반고등학교,382,50
상명고등학교,서울,일반고등학교,846,76
상일여자고등학교,서울,일반고등학교,727,70
서문여자고등학교,서울,일반고등학교,879,79
선일여자고등학교,서울,일반고등학교,714,71
성신여자고등학교,서울,일반고등학교,583,61
성심여자고등학교,서울,일반고등학교,402,53
세화여자고등학교,서울,일반고등학교,1045,79
송곡여자고등학교,서울,일반고등학교,637,60
숙명여자고등학교,서울,일반고등학교,1160,90
숭의여자고등학교,서울,일반고등학교,689,60
신광여자고등학교,서울,일반고등학교,236,37
목동고등학교,서울,일반고등학교,1096,94
염광고등학교,서울,일반고등학교,646,60
영동일고등학교,서울,일반고등학교,912,76
영신여자고등학교,서울,일반고등학교,714,77
영파여자고등학교,서울,일반고등학교,822,72
예일여자고등학교,서울,일반고등학교,827,82
용화여자고등학교,서울,일반고등학교,776,76
은광여자고등학교,서울,일반고등학교,700,63
이화여자고등학교,서울,일반고등학교,1178,84
잠실여자고등학교,서울,일반고등학교,877,76
정신여자고등학교,서울,일반고등학교,892,77
정의여자고등학교,서울,일반고등학교,681,75
중앙여자고등학교,서울,일반고등학교,498,48
진명여자고등학교,서울,일반고등학교,1258,100
진선여자고등학교,서울,일반고등학교,912,75
창문여자고등학교,서울,일반고등학교,909,76
청원여자고등학교,서울,일반고등학교,871,81
풍문고등학교,서울,일반고등학교,881,73
한성여자고등학교,서울,일반고등학교,568,62
한양대학교사범대학부속고등학교,서울,일반고등학교,946,74
혜성여자고등학교,서울,일반고등학교,848,74
혜원여자고등학교,서울,일반고등학교,567,59
홍익대학교사범대학부속여자고등학교,서울,일반고등학교,727,64
휘경여자고등학교,서울,일반고등학교,685,68
오류고등학교,서울,일반고등학교,498,44
해성여자고등학교,서울,일반고등학교,611,58
하나고등학교,서울,일반고등학교,602,62
동양고등학교,서울,일반고등학교,478,46
동원중학교,서울,일반중학교,379,36
면목중학교,서울,일반중학교,462,42
봉화중학교,서울,일반중학교,256,31
성일중학교,서울,일반중학교,313,30
신현중학교,서울,일반중학교,683,52
원묵중학교,서울,일반중학교,872,63
장안중학교,서울,일반중학교,404,39
장평중학교,서울,일반중학교,706,53
전농중학교,서울,일반중학교,396,36
전동중학교,서울,일반중학교,415,37
중랑중학교,서울,일반중학교,343,32
중화중학교,서울,일반중학교,432,41
청량중학교,서울,일반중학교,366,38
태릉중학교,서울,일반중학교,397,37
휘경중학교,서울,일반중학교,298,31
동대문중학교,서울,일반중학교,569,51
숭인중학교,서울,일반중학교,323,33
전일중학교,서울,일반중학교,380,35
용마중학교,서울,일반중학교,457,40
상봉중학교,서울,일반중학교,685,52
경희중학교,서울,일반중학교,472,36
대광중학교,서울,일반중학교,357,30
동국대학교사범대학부속중학교,서울,일반중학교,537,40
경희여자중학교,서울,일반중학교,355,29
송곡여자중학교,서울,일반중학교,176,24
영란여자중학교,서울,일반중학교,283,31
정화여자중학교,서울,일반중학교,125,24
혜원여자중학교,서울,일반중학교,349,30
휘경여자중학교,서울,일반중학교,465,35
구산중학교,서울,일반중학교,546,47
덕산중학교,서울,일반중학교,321,34
불광중학교,서울,일반중학교,505,43
상신중학교,서울,일반중학교,279,30
서연중학교,서울,일반중학교,247,30
성사중학교,서울,일반중학교,288,30
성산중학교,서울,일반중학교,448,46
성서중학교,서울,일반중학교,419,40
신수중학교,서울,일반중학교,448,38
신연중학교,서울,일반중학교,351,37
아현중학교,서울,일반중학교,573,55
연북중학교,서울,일반중학교,270,28
연서중학교,서울,일반중학교,318,31
연신중학교,서울,일반중학교,362,34
연천중학교,서울,일반중학교,298,30
은평중학교,서울,일반중학교,502,47
중암중학교,서울,일반중학교,744,63
증산중학교,서울,일반중학교,368,40
홍은중학교,서울,일반중학교,346,32
서울여자중학교,서울,일반중학교,647,51
연희중학교,서울,일반중학교,723,58
상암중학교,서울,일반중학교,1010,79
진관중학교,서울,일반중학교,1050,77
창천중학교,서울,일반중학교,353,36
신도중학교,서울,일반중학교,1152,86
인왕중학교,서울,일반중학교,364,39
가재울중학교,서울,일반중학교,652,56
경성중학교,서울,일반중학교,322,34
광성중학교,서울,일반중학교,377,31
대성중학교,서울,일반중학교,407,47
동도중학교,서울,일반중학교,650,46
명지중학교,서울,일반중학교,796,58
숭문중학교,서울,일반중학교,496,34
숭실중학교,서울,일반중학교,350,34
영락중학교,서울,일반중학교,667,48
이화여자대학교사범대학부속이화·금란중학교,서울,일반중학교,489,38
인창중학교,서울,일반중학교,322,34
충암중학교,서울,일반중학교,768,59
한성중학교,서울,일반중학교,277,35
동명여자중학교,서울,일반중학교,249,27
선일여자중학교,서울,일반중학교,342,39
선정중학교,서울,일반중학교,597,49
예일여자중학교,서울,일반중학교,631,46
정원여자중학교,서울,일반중학교,338,45
중앙여자중학교,서울,일반중학교,293,29
홍익대학교사범대학부속여자중학교,서울,일반중학교,372,33
가산중학교,서울,일반중학교,412,36
개봉중학교,서울,일반중학교,376,37
개웅중학교,서울,일반중학교,480,46
고척중학교,서울,일반중학교,812,65
구로중학교,서울,일반중학교,385,44
구일중학교,서울,일반중학교,570,49
난곡중학교,서울,일반중학교,219,26
당산서중학교,서울,일반중학교,468,36
당산중학교,서울,일반중학교,432,40
대림중학교,서울,일반중학교,446,52
대영중학교,서울,일반중학교,608,48
문래중학교,서울,일반중학교,622,43
문성중학교,서울,일반중학교,219,29
세일중학교,서울,일반중학교,318,32
시흥중학교,서울,일반중학교,502,48
신도림중학교,서울,일반중학교,1050,69
안천중학교,서울,일반중학교,452,37
선유중학교,서울,일반중학교,352,34
양화중학교,서울,일반중학교,603,51
여의도중학교,서울,일반중학교,606,50
영남중학교,서울,일반중학교,420,43
영림중학교,서울,일반중학교,525,52
영서중학교,서울,일반중학교,543,49
영원중학교,서울,일반중학교,485,47
오남중학교,서울,일반중학교,571,49
오류중학교,서울,일반중학교,316,35
윤중중학교,서울,일반중학교,452,41
한울중학교,서울,일반중학교,533,49
경인중학교,서울,일반중학교,620,55
천왕중학교,서울,일반중학교,813,61
문일중학교,서울,일반중학교,384,36
우신중학교,서울,일반중학교,309,29
동일중학교,서울,일반중학교,532,39
항동중학교,서울,일반중학교,461,40
신길중학교,서울,일반중학교,693,57
공릉중학교,서울,일반중학교,653,61
노곡중학교,서울,일반중학교,334,33
노원중학교,서울,일반중학교,448,41
노일중학교,서울,일반중학교,372,36
녹천중학교,서울,일반중학교,412,37
도봉중학교,서울,일반중학교,341,40
방학중학교,서울,일반중학교,388,34
백운중학교,서울,일반중학교,482,44
북서울중학교,서울,일반중학교,441,45
불암중학교,서울,일반중학교,989,67
상경중학교,서울,일반중학교,460,43
상계중학교,서울,일반중학교,491,44
상원중학교,서울,일반중학교,396,34
신방학중학교,서울,일반중학교,408,37
신상중학교,서울,일반중학교,311,35
신창중학교,서울,일반중학교,301,35
온곡중학교,서울,일반중학교,505,47
월계중학교,서울,일반중학교,316,33
중계중학교,서울,일반중학교,880,61
중원중학교,서울,일반중학교,375,42
중평중학교,서울,일반중학교,804,61
창동중학교,서울,일반중학교,612,54
창북중학교,서울,일반중학교,473,44
창일중학교,서울,일반중학교,611,51
하계중학교,서울,일반중학교,701,62
한천중학교,서울,일반중학교,588,49
신도봉중학교,서울,일반중학교,467,45
상계제일중학교,서울,일반중학교,489,50
태랑중학교,서울,일반중학교,552,48
수락중학교,서울,일반중학교,413,46
을지중학교,서울,일반중학교,715,51
효문중학교,서울,일반중학교,268,27
광운중학교,서울,일반중학교,314,30
선덕중학교,서울,일반중학교,671,47
재현중학교,서울,일반중학교,499,43
청원중학교,서울,일반중학교,563,39
상명중학교,서울,일반중학교,810,51
염광중학교,서울,일반중학교,325,28
정의여자중학교,서울,일반중학교,298,31
서울대학교사범대학부설여자중학교,서울,일반중학교,328,52
덕수중학교,서울,일반중학교,233,32
선린중학교,서울,일반중학교,471,49
용강중학교,서울,일반중학교,811,64
용산중학교,서울,일반중학교,271,34
청운중학교,서울,일반중학교,365,40
한강중학교,서울,일반중학교,322,39
금호여자중학교,서울,일반중학교,86,21
장원중학교,서울,일반중학교,223,31
창덕여자중학교,서울,일반중학교,207,32
경신중학교,서울,일반중학교,215,25
대경중학교,서울,일반중학교,294,30
대신중학교,서울,일반중학교,289,30
동성중학교,서울,일반중학교,219,26
배문중학교,서울,일반중학교,192,25
오산중학교,서울,일반중학교,307,31
장충중학교,서울,일반중학교,206,25
중앙중학교,서울,일반중학교,242,27
한양중학교,서울,일반중학교,151,25
환일중학교,서울,일반중학교,151,27
덕성여자중학교,서울,일반중학교,150,26
배화여자중학교,서울,일반중학교,403,40
보성여자중학교,서울,일반중학교,222,26
상명대학교사범대학부속여자중학교,서울,일반중학교,259,28
신광여자중학교,서울,일반중학교,271,30
성심여자중학교,서울,일반중학교,200,26
가락중학교,서울,일반중학교,470,41
가원중학교,서울,일반중학교,423,40
강일중학교,서울,일반중학교,633,47
거원중학교,서울,일반중학교,430,38
고덕중학교,서울,일반중학교,1384,96
둔촌중학교,서울,일반중학교,248,30
문정중학교,서울,일반중학교,402,38
방산중학교,서울,일반중학교,435,36
방이중학교,서울,일반중학교,312,31
석촌중학교,서울,일반중학교,292,27
성내중학교,서울,일반중학교,485,49
세륜중학교,서울,일반중학교,349,34
송파중학교,서울,일반중학교,859,69
신명중학교,서울,일반중학교,489,47
신암중학교,서울,일반중학교,517,42
신천중학교,서울,일반중학교,1114,69
아주중학교,서울,일반중학교,493,48
오금중학교,서울,일반중학교,368,36
오륜중학교,서울,일반중학교,475,40
오주중학교,서울,일반중학교,410,43
잠신중학교,서울,일반중학교,1103,71
잠실중학교,서울,일반중학교,1208,77
천일중학교,서울,일반중학교,462,46
천호중학교,서울,일반중학교,433,42
풍납중학교,서울,일반중학교,321,38
풍성중학교,서울,일반중학교,334,38
한산중학교,서울,일반중학교,320,37
명일중학교,서울,일반중학교,973,72
문현중학교,서울,일반중학교,489,44
강동중학교,서울,일반중학교,618,53
강명중학교,서울,일반중학교,718,64
해누리중학교,서울,일반중학교,651,49
위례솔중학교,서울,일반중학교,461,49
동북중학교,서울,일반중학교,233,43
동신중학교,서울,일반중학교,470,44
배명중학교,서울,일반중학교,453,43
배재중학교,서울,일반중학교,868,51
보성중학교,서울,일반중학교,356,37
보인중학교,서울,일반중학교,494,44
한영중학교,서울,일반중학교,742,43
상일중학교,서울,일반중학교,506,34
성덕여자중학교,서울,일반중학교,497,46
영파여자중학교,서울,일반중학교,303,37
일신여자중학교,서울,일반중학교,416,43
정신여자중학교,서울,일반중학교,940,68
송례중학교,서울,일반중학교,1347,102
강빛중학교,서울,일반중학교,261,34
강신중학교,서울,일반중학교,882,70
경서중학교,서울,일반중학교,112,26
공항중학교,서울,일반중학교,518,44
등명중학교,서울,일반중학교,586,51
등원중학교,서울,일반중학교,253,30
목동중학교,서울,일반중학교,1347,93
목일중학교,서울,일반중학교,1210,88
방원중학교,서울,일반중학교,321,35
방화중학교,서울,일반중학교,327,33
백석중학교,서울,일반중학교,559,49
삼정중학교,서울,일반중학교,303,31
성재중학교,서울,일반중학교,370,38
송정중학교,서울,일반중학교,174,25
신남중학교,서울,일반중학교,664,53
신목중학교,서울,일반중학교,1350,96
신서중학교,서울,일반중학교,1162,84
신원중학교,서울,일반중학교,226,32
신월중학교,서울,일반중학교,725,65
양강중학교,서울,일반중학교,781,67
양동중학교,서울,일반중학교,629,59
양서중학교,서울,일반중학교,377,38
양천중학교,서울,일반중학교,590,51
염창중학교,서울,일반중학교,769,61
월촌중학교,서울,일반중학교,1417,97
화원중학교,서울,일반중학교,540,48
금옥중학교,서울,일반중학교,774,68
신화중학교,서울,일반중학교,227,30
염경중학교,서울,일반중학교,535,47
수명중학교,서울,일반중학교,557,46
목운중학교,서울,일반중학교,1377,91
마곡중학교,서울,일반중학교,610,52
덕원중학교,서울,일반중학교,743,45
등촌중학교,서울,일반중학교,392,31
마포중학교,서울,일반중학교,441,36
양정중학교,서울,일반중학교,534,33
영도중학교,서울,일반중학교,289,25
화곡중학교,서울,일반중학교,553,34
봉영여자중학교,서울,일반중학교,489,38
신정여자중학교,서울,일반중학교,407,33
명덕여자중학교,서울,일반중학교,527,36
마곡하늬중학교,서울,일반중학교,662,52
개원중학교,서울,일반중학교,877,56
개포중학교,서울,일반중학교,0,0
경원중학교,서울,일반중학교,1050,73
구룡중학교,서울,일반중학교,778,62
압구정중학교,서울,일반중학교,428,37
대명중학교,서울,일반중학교,996,61
대왕중학교,서울,일반중학교,886,56
대청중학교,서울,일반중학교,1080,69
대치중학교,서울,일반중학교,588,48
도곡중학교,서울,일반중학교,702,52
반포중학교,서울,일반중학교,216,29
방배중학교,서울,일반중학교,543,47
봉은중학교,서울,일반중학교,288,34
서운중학교,서울,일반중학교,1160,75
서일중학교,서울,일반중학교,1053,69
서초중학교,서울,일반중학교,689,57
수서중학교,서울,일반중학교,496,49
신구중학교,서울,일반중학교,295,31
신동중학교,서울,일반중학교,792,57
신반포중학교,서울,일반중학교,816,62
신사중학교,서울,일반중학교,359,35
언남중학교,서울,일반중학교,358,37
언북중학교,서울,일반중학교,314,34
언주중학교,서울,일반중학교,954,63
역삼중학교,서울,일반중학교,1169,72
영동중학교,서울,일반중학교,997,68
원촌중학교,서울,일반중학교,1171,77
이수중학교,서울,일반중학교,436,45
청담중학교,서울,일반중학교,391,32
세곡중학교,서울,일반중학교,1040,73
내곡중학교,서울,일반중학교,384,39
단국대학교사범대학부속중학교,서울,일반중학교,606,33
중동중학교,서울,일반중학교,976,60
휘문중학교,서울,일반중학교,814,48
동덕여자중학교,서울,일반중학교,448,40
서문여자중학교,서울,일반중학교,627,50
세화여자중학교,서울,일반중학교,746,55
숙명여자중학교,서울,일반중학교,897,56
은성중학교,서울,일반중학교,486,31
진선여자중학교,서울,일반중학교,997,58
강남중학교,서울,일반중학교,259,32
관악중학교,서울,일반중학교,288,31
국사봉중학교,서울,일반중학교,343,37
난우중학교,서울,일반중학교,507,47
남서울중학교,서울,일반중학교,262,31
남성중학교,서울,일반중학교,274,33
당곡중학교,서울,일반중학교,531,50
동작중학교,서울,일반중학교,377,35
문창중학교,서울,일반중학교,334,35
미성중학교,서울,일반중학교,430,36
봉림중학교,서울,일반중학교,257,33
사당중학교,서울,일반중학교,479,43
상도중학교,서울,일반중학교,436,37
신관중학교,서울,일반중학교,233,27
신림중학교,서울,일반중학교,295,32
영등포중학교,서울,일반중학교,207,33
인헌중학교,서울,일반중학교,429,42
장승중학교,서울,일반중학교,583,50
강현중학교,서울,일반중학교,363,37
대방중학교,서울,일반중학교,711,65
봉원중학교,서울,일반중학교,466,44
상현중학교,서울,일반중학교,504,46
삼성중학교,서울,일반중학교,243,31
구암중학교,서울,일반중학교,1126,77
광신중학교,서울,일반중학교,244,26
남강중학교,서울,일반중학교,317,29
동양중학교,서울,일반중학교,345,29
성남중학교,서울,일반중학교,581,41
성보중학교,서울,일반중학교,371,36
중앙대학교사범대학부속중학교,서울,일반중학교,629,48
서울문영여자중학교,서울,일반중학교,234,27
숭의여자중학교,서울,일반중학교,457,36
경수중학교,서울,일반중학교,248,32
광남중학교,서울,일반중학교,1093,75
광양중학교,서울,일반중학교,421,35
광장중학교,서울,일반중학교,538,47
광진중학교,서울,일반중학교,263,29
광희중학교,서울,일반중학교,769,61
구의중학교,서울,일반중학교,410,36
동마중학교,서울,일반중학교,370,39
성수중학교,서울,일반중학교,189,27
신양중학교,서울,일반중학교,272,26
옥정중학교,서울,일반중학교,531,52
용곡중학교,서울,일반중학교,615,54
자양중학교,서울,일반중학교,653,60
무학중학교,서울,일반중학교,775,62
성원중학교,서울,일반중학교,169,29
행당중학교,서울,일반중학교,229,28
경일중학교,서울,일반중학교,228,24
마장중학교,서울,일반중학교,337,35
양진중학교,서울,일반중학교,871,66
건국대학교사범대학부속중학교,서울,일반중학교,595,45
동국대학교사범대학부속여자중학교,서울,일반중학교,414,36
한양대학교사범대학부속중학교,서울,일반중학교,450,39
서울대학교사범대학부설중학교,서울,일반중학교,553,60
강북중학교,서울,일반중학교,367,33
번동중학교,서울,일반중학교,469,44
북악중학교,서울,일반중학교,333,34
삼선중학교,서울,일반중학교,378,35
석관중학교,서울,일반중학교,506,48
수유중학교,서울,일반중학교,369,34
월곡중학교,서울,일반중학교,490,42
인수중학교,서울,일반중학교,382,41
장위중학교,서울,일반중학교,582,48
화계중학교,서울,일반중학교,336,37
종암중학교,서울,일반중학교,442,43
수송중학교,서울,일반중학교,334,35
삼각산중학교,서울,일반중학교,991,70
개운중학교,서울,일반중학교,675,54
솔샘중학교,서울,일반중학교,380,38
숭곡중학교,서울,일반중학교,643,52
길음중학교,서울,일반중학교,896,62
고려대학교사범대학부속중학교,서울,일반중학교,683,58
고명중학교,서울,일반중학교,417,33
남대문중학교,서울,일반중학교,457,43
서라벌중학교,서울,일반중학교,320,29
신일중학교,서울,일반중학교,326,25
용문중학교,서울,일반중학교,159,28
홍익대학교사범대학부속중학교,서울,일반중학교,268,36
동구여자중학교,서울,일반중학교,298,29
성신여자중학교,서울,일반중학교,590,46
성암여자중학교,서울,일반중학교,403,32
창문여자중학교,서울,일반중학교,471,35
한성여자중학교,서울,일반중학교,374,32
브니엘여자고등학교,부산,일반고등학교,216,39
부산진고등학교,부산,일반고등학교,405,53
부산대학교사범대학부설고등학교,부산,일반고등학교,668,71
경일고등학교,부산,일반고등학교,841,61
구덕고등학교,부산,일반고등학교,414,49
덕문고등학교,부산,일반고등학교,121,23
남산고등학교,부산,일반고등학교,458,59
정관고등학교,부산,일반고등학교,1094,83
경원고등학교,부산,일반고등학교,590,52
경남고등학교,부산,일반고등학교,476,56
경남여자고등학교,부산,일반고등학교,529,65
영도여자고등학교,부산,일반고등학교,383,55
혜화여자고등학교,부산,일반고등학교,542,53
기장고등학교,부산,일반고등학교,893,76
부경고등학교,부산,일반고등학교,430,52
금곡고등학교,부산,일반고등학교,639,67
금정고등학교,부산,일반고등학교,590,61
금정여자고등학교,부산,일반고등학교,356,53
부산여자고등학교,부산,일반고등학교,783,69
낙동고등학교,부산,일반고등학교,633,69
개금고등학교,부산,일반고등학교,426,50
내성고등학교,부산,일반고등학교,537,54
만덕고등학교,부산,일반고등학교,505,56
다대고등학교,부산,일반고등학교,571,59
동래고등학교,부산,일반고등학교,704,65
문현여자고등학교,부산,일반고등학교,534,57
반여고등학교,부산,일반고등학교,499,53
동천고등학교,부산,일반고등학교,529,56
성도고등학교,부산,일반고등학교,464,57
부산고등학교,부산,일반고등학교,340,56
부산남고등학교,부산,일반고등학교,253,39
부산남일고등학교,부산,일반고등학교,650,57
부산동여자고등학교,부산,일반고등학교,533,60
부산서여자고등학교,부산,일반고등학교,509,57
성모여자고등학교,부산,일반고등학교,507,54
부산백양고등학교,부산,일반고등학교,417,52
금명여자고등학교,부산,일반고등학교,367,50
사상고등학교,부산,일반고등학교,413,52
센텀고등학교,부산,일반고등학교,582,59
부산장안고등학교,부산,일반고등학교,355,43
부산중앙고등학교,부산,일반고등학교,466,55
명호고등학교,부산,일반고등학교,758,59
신정고등학교,부산,일반고등학교,764,59
부산중앙여자고등학교,부산,일반고등학교,776,67
부흥고등학교,부산,일반고등학교,815,71
개성고등학교,부산,일반고등학교,585,58
분포고등학교,부산,일반고등학교,453,50
