회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기,성별
37,105878600,28900000,22960000.0,기타,대전점,13,2.846153846,0.108108108,24,1
38,9850000,5750000,,화장품,본  점,3,1.0,0.0,40,0
39,189885800,29673000,20723000.0,디자이너,부산본점,31,1.548387097,0.270833333,11,0
40,680977340,43240000,,화장품,본  점,41,3.341463415,0.656934307,8,0
41,10512000,9750000,,수산품,본  점,3,1.666666667,0.2,77,1
42,58757280,8668800,,디자이너,강남점,14,2.428571429,0.588235294,21,0
43,26561200,11875000,,가공식품,분당점,7,2.285714286,0.1875,32,1
44,88142300,27764000,250000.0,아동,강남점,20,2.55,0.352941176,16,0
45,6895950,2050000,,기타,본  점,21,2.714285714,0.175438596,14,1
46,3677000,3476000,,차/커피,본  점,2,2.5,0.0,18,0
47,7273000,2205000,,가공식품,강남점,5,4.2,0.047619048,35,0
48,115107880,12500000,12085000.0,기타,본  점,42,4.714285714,0.378787879,8,0
49,12810920,870870,,농산물,관악점,18,6.444444444,0.370689655,13,1
50,35338450,8125000,,캐주얼,광주점,12,2.583333333,0.290322581,30,0
51,13461000,9384000,,스포츠,잠실점,3,1.0,0.333333333,76,0
52,13926390,4050000,,가공식품,본  점,25,2.8,0.585714286,12,1
53,4225000,4225000,,화장품,본  점,1,1.0,0.0,0,1
54,157292300,37113600,8989500.0,농산물,청량리점,96,3.666666667,0.301136364,3,1
55,125864310,54000000,,가공식품,안양점,23,2.913043478,0.28358209,15,1
56,133636010,16000000,,기타,본  점,19,4.368421053,0.168674699,16,0
57,438046180,48489000,28371000.0,시티웨어,잠실점,38,1.315789474,0.44,8,0
58,2023500,329000,,가공식품,본  점,7,1.142857143,0.0,38,1
59,99215700,34000000,64691600.0,가공식품,잠실점,17,4.294117647,0.356164384,19,1
60,3151200,2544000,,차/커피,잠실점,2,2.5,0.0,85,0
61,1062500,2125000,1062500.0,섬유잡화,영등포점,2,1.0,0.5,1,1
62,2178000,2178000,,명품,본  점,1,1.0,0.0,0,1
63,391890,187000,,농산물,본  점,1,7.0,0.0,0,1
64,16728810,2875000,,농산물,분당점,12,3.916666667,0.276595745,26,0
65,125714630,14335000,4013000.0,기타,관악점,28,6.214285714,0.856321839,12,1
66,139274290,21420000,,기타,부산본점,17,3.294117647,0.607142857,18,1
67,1062000,1062000,,화장품,본  점,1,1.0,1.0,0,0
68,611347440,54427200,,화장품,대전점,29,2.620689655,0.302631579,11,0
69,1416950,1026000,,가공식품,일산점,2,1.5,0.0,61,1
70,142850,142850,,육류,청량리점,1,1.0,0.0,0,0
71,70633210,13970000,23530000.0,기타,본  점,33,3.121212121,0.155339806,10,0
72,6194090,1656000,,농산물,부평점,6,3.333333333,0.0,49,0
73,169350,72000,,축산가공,안양점,1,7.0,0.0,0,0
74,31871970,10750000,12581000.0,농산물,부산본점,18,1.833333333,0.212121212,19,0
75,2727500,2280000,,차/커피,부평점,2,1.5,0.0,78,0
76,14219880,2415000,,젓갈/반찬,본  점,12,3.083333333,0.378378378,20,1
77,8892400,3845600,,시티웨어,잠실점,1,4.0,1.0,0,0
78,27071500,12712000,3220000.0,명품,본  점,4,2.5,0.4,9,0
79,8257780,4370000,,기타,본  점,8,3.875,0.967741935,27,0
80,251917560,20250000,9406000.0,가공식품,일산점,38,2.394736842,0.263736264,9,0
81,20532000,8428000,,구두,잠실점,5,1.8,0.666666667,25,0
82,58591230,21168000,,캐주얼,본  점,12,2.25,1.0,16,1
83,3322720,1104000,,농산물,분당점,5,3.0,0.733333333,40,1
84,279508490,117760000,117760000.0,골프,분당점,21,2.523809524,0.056603774,15,0
85,751611990,32620000,41438600.0,아동,대전점,176,3.136363636,0.342391304,2,1
86,234389170,29760000,7528400.0,화장품,강남점,51,2.745098039,0.457142857,6,0
87,96643910,17688000,4274000.0,기타,본  점,24,3.458333333,0.289156627,13,0
88,379640600,80000000,,시티웨어,미아점,12,2.416666667,0.448275862,25,1
89,6072000,6072000,,디자이너,잠실점,1,1.0,0.0,0,1
90,1805890,299000,,가공식품,잠실점,5,5.6,0.857142857,62,1
91,2634000,2574000,,액세서리,부평점,2,1.0,0.5,36,0
92,5420000,4840000,4838400.0,피혁잡화,본  점,2,3.0,0.0,7,0
93,341823670,42960000,57549800.0,농산물,동래점,81,2.740740741,0.216216216,4,0
94,140718960,15686000,,화장품,본  점,21,3.095238095,0.538461538,15,0
95,8960000,8601600,2975000.0,시티웨어,부산본점,3,1.333333333,0.0,2,0
96,3940150,3250000,,기타,관악점,2,3.0,0.0,79,1
97,483229330,22750000,,시티웨어,영등포점,43,3.88372093,0.437125749,8,1
98,5430250,4387500,,기타,본  점,2,2.5,0.0,58,1
99,109816000,77040000,3080000.0,피혁잡화,본  점,12,1.416666667,0.470588235,10,0
100,55995890,34970000,735000.0,기타,본  점,9,2.666666667,0.041666667,37,0
101,9940000,3860000,,섬유잡화,분당점,2,2.0,0.0,29,0
102,156000,143000,,차/커피,본  점,1,2.0,1.0,0,1
103,83750,24000,,가공식품,영등포점,2,4.0,0.0,1,1
104,81684500,20700000,,피혁잡화,본  점,4,2.0,0.5,27,1
105,80790610,28203000,,가공식품,일산점,10,4.7,0.191489362,29,1
106,4104220,420000,,가공식품,본  점,7,5.714285714,0.0,17,1
107,6284000,2990000,,구두,본  점,4,1.25,0.2,69,1
108,96289740,12988800,,일용잡화,포항점,27,3.074074074,0.481927711,12,0
109,316486800,92225000,26732400.0,기타,잠실점,57,2.385964912,0.169117647,6,0
110,25914480,19750000,,농산물,잠실점,15,1.333333333,0.05,22,1
111,37189800,28534000,,디자이너,강남점,4,1.25,0.8,28,0
112,46113120,9750000,,가공식품,본  점,38,2.368421053,0.288888889,9,0
113,17856000,8640000,,기타,잠실점,3,1.666666667,0.4,97,0
114,272000,272000,,일용잡화,본  점,1,1.0,0.0,0,1
115,44727800,16800000,,기타,분당점,20,5.15,0.233009709,16,0
116,300650,110110,,농산물,잠실점,1,4.0,1.0,0,0
117,71169570,17049600,,가공식품,본  점,12,3.833333333,0.717391304,27,1
118,228654470,30000000,45308500.0,기타,노원점,69,2.68115942,0.248648649,5,0
119,1143100,1093400,,시티웨어,광주점,1,2.0,0.0,0,1
120,1400500,546000,,가공식품,미아점,3,4.666666667,0.0,17,0
121,5902000,2838000,,디자이너,분당점,3,1.666666667,0.2,3,1
122,3087000,1587000,,남성 캐주얼,영등포점,2,1.5,0.666666667,2,0
123,5619650,5392800,,기타,안양점,1,5.0,1.0,0,1
124,79891750,19650000,,아동,부산본점,12,2.833333333,0.058823529,13,0
125,16258000,7750000,,수산품,영등포점,4,2.75,0.0,58,0
126,169669150,26750000,,화장품,본  점,22,2.681818182,0.338983051,13,0
127,122353300,30240000,45000.0,캐주얼,일산점,26,2.384615385,0.161290323,13,0
128,27184590,5006400,6285300.0,가공식품,미아점,19,4.578947368,0.287356322,17,1
129,41175940,11520000,7791000.0,기타,대전점,14,3.571428571,0.26,24,0
130,27546070,13420000,,가공식품,잠실점,11,4.636363636,0.156862745,25,1
131,155416710,20265760,,기타,대전점,34,5.176470588,0.306818182,10,1
132,350841000,44895600,3960000.0,명품,잠실점,39,2.230769231,0.264367816,9,0
133,369263020,128315850,5107000.0,기타,본  점,104,4.490384615,0.186295503,3,0
134,3718000,3718000,,주방가전,잠실점,1,1.0,0.0,0,0
135,35873850,5256000,,기타,잠실점,16,1.9375,0.290322581,12,0
136,52976440,6850000,,가공식품,분당점,57,5.0,0.357894737,6,0
137,12000,12000,,수산품,본  점,1,1.0,0.0,0,1
138,208000,954000,1007000.0,기타,강남점,2,4.5,0.222222222,1,0
139,3264000,836000,,섬유잡화,본  점,5,1.4,0.714285714,67,1
140,336000,336000,,주방용품,본  점,1,1.0,1.0,0,0
141,44711400,16416000,16691800.0,차/커피,본  점,27,2.444444444,0.348484848,12,0
142,18068400,15750000,,시티웨어,본  점,2,1.0,0.0,80,0
143,7556680,624000,,가공식품,본  점,4,19.0,0.0,19,1
144,1444000,840000,,농산물,본  점,4,2.0,0.0,61,0
145,304783000,26250000,18041000.0,화장품,본  점,36,2.611111111,0.074468085,10,0
146,7300400,4176000,,기타,부산본점,5,2.6,0.076923077,35,1
147,36869860,25875000,,디자이너,일산점,4,2.0,0.0,63,1
148,81239780,9765000,,농산물,본  점,17,3.411764706,0.0,13,1
149,27862000,12240000,,화장품,잠실점,8,1.25,0.1,20,1
150,72329000,25244800,,시티웨어,대전점,11,2.363636364,0.038461538,26,1
151,16890450,4599000,,스포츠,창원점,12,1.75,0.0,22,1
152,159877920,41706000,43200000.0,디자이너,잠실점,31,2.161290323,0.253731343,10,0
153,337481650,43620000,28124200.0,농산물,일산점,91,9.120879121,0.721686747,3,0
154,4009000,1980000,,시티웨어,청량리점,2,2.5,0.0,38,0
155,29622900,12240000,,기타,영등포점,4,2.0,0.0,40,1
156,1848000,1771000,,건강식품,본  점,1,2.0,1.0,0,1
157,510000,510000,,육류,본  점,1,1.0,0.0,0,0
158,583828800,168000000,120000.0,기타,잠실점,15,3.266666667,0.469387755,22,1
159,1980000,1980000,,시티웨어,분당점,1,1.0,0.0,0,1
160,9580000,9196800,,시티웨어,본  점,1,2.0,0.0,0,1
161,285275820,91872000,26660000.0,농산물,잠실점,62,2.612903226,0.080246914,5,1
162,921000,576000,,차/커피,본  점,1,2.0,0.0,0,0
163,76620,45000,,축산가공,영등포점,1,2.0,1.0,0,1
164,535194380,91872000,8687000.0,기타,본  점,46,2.760869565,0.118110236,7,0
165,40386100,17250000,2070000.0,농산물,분당점,8,5.0,0.05,29,1
166,74684500,7050000,,화장품,본  점,24,1.875,0.466666667,14,1
167,3132000,3628800,3780000.0,구두,청량리점,4,1.75,0.0,51,0
168,292855700,48507000,50000.0,기타,노원점,51,2.803921569,0.237762238,7,1
169,4325800,2543800,,건강식품,강남점,3,1.666666667,0.8,69,1
170,10846000,5550000,,골프,부산본점,3,1.0,0.666666667,53,0
171,182330270,15272000,6050000.0,농산물,잠실점,58,3.344827586,0.159793814,5,0
172,266032800,42500000,42500000.0,디자이너,광주점,22,3.727272727,0.37804878,13,0
173,22557240,15225000,15225000.0,가공식품,본  점,13,3.076923077,0.075,25,0
174,736000,460000,,화장품,잠실점,1,2.0,0.0,0,0
175,69219600,11088000,5891500.0,시티웨어,광주점,19,2.315789474,0.295454545,18,1
176,54252670,11750000,20492400.0,기타,분당점,35,4.514285714,0.32278481,9,0
177,17581400,3801600,1653600.0,화장품,센텀시티점,10,2.2,0.227272727,31,0
178,28912000,7490000,,가공식품,강남점,7,4.142857143,0.482758621,43,0
179,1571800,921600,,가공식품,관악점,1,6.0,1.0,0,1
180,90790500,34270000,1342000.0,가공식품,본  점,9,3.444444444,0.064516129,31,0
181,263885610,11850000,1968200.0,기타,잠실점,123,3.93495935,0.334710744,2,0
182,7799000,5600000,,스포츠,부산본점,1,3.0,1.0,0,0
183,15395900,9125000,,가공식품,잠실점,10,2.1,0.0,23,1
184,5134500,2225000,4110200.0,캐주얼,부산본점,10,1.9,0.315789474,11,0
185,49173370,5293400,936000.0,농산물,부산본점,38,3.342105263,0.196850394,9,1
186,457600470,141840000,11352000.0,기타,잠실점,82,2.963414634,0.275720165,4,0
187,246000,150000,,기타,분당점,1,3.0,0.0,0,0
188,10321200,12222000,10110600.0,가구,미아점,8,1.5,0.5,4,0
189,232374000,35901000,14255000.0,디자이너,본  점,38,1.894736842,0.361111111,8,0
190,196820,56680,,주류,노원점,2,5.5,1.0,14,1
191,31637550,4840000,,일용잡화,분당점,11,1.545454545,0.117647059,28,0
192,93903550,22344000,,가공식품,분당점,18,4.166666667,0.173333333,18,0
193,87388900,20000000,2316000.0,가공식품,본  점,32,3.0625,0.43877551,9,0
194,40341080,5544000,,농산물,관악점,52,8.076923077,0.145238095,6,0
195,10062000,4185000,,남성 캐주얼,분당점,4,1.75,0.428571429,62,1
196,87684100,10900000,29805400.0,명품,본  점,44,2.0,0.215909091,7,0
197,4464000,4464000,,디자이너,미아점,1,1.0,0.0,0,0
198,30722230,19470000,,축산가공,본  점,29,2.689655172,0.205128205,11,1
199,17930000,14630000,,시티웨어,강남점,1,2.0,0.0,0,0
200,2476800,2476800,,피혁잡화,부산본점,1,1.0,0.0,0,0
201,478429880,88000000,19255000.0,남성 캐주얼,잠실점,49,2.285714286,0.241071429,7,0
202,806000,806000,,화장품,본  점,1,1.0,1.0,0,0
203,877500,721500,,기타,본  점,2,1.5,0.0,88,1
204,15111000,14454000,,가구,노원점,1,2.0,1.0,0,1
205,81825270,7250000,16984000.0,가공식품,부산본점,156,3.833333333,0.245819398,2,1
206,385246700,37510000,,화장품,본  점,51,2.509803922,0.453125,6,0
207,3306000,1242000,,모피/피혁,영등포점,4,1.75,0.0,70,0
208,377453160,114000000,10500000.0,시티웨어,미아점,26,2.038461538,0.566037736,13,0
209,139233380,17100000,,농산물,영등포점,46,4.260869565,0.25,7,1
210,211517700,35715000,16014000.0,기타,일산점,47,2.659574468,0.4,7,0
211,2495400,1875000,,수산품,본  점,1,7.0,1.0,0,1
212,567250,560000,,육류,노원점,2,1.5,1.0,0,0
213,33719500,5750000,,수산품,본  점,12,2.0,0.208333333,20,0
214,402450700,161000000,381521000.0,디자이너,본  점,40,2.125,0.294117647,6,0
215,100468740,12000000,2967000.0,농산물,관악점,50,4.32,0.333333333,7,0
216,162650520,13272000,32152900.0,명품,부산본점,46,2.347826087,0.046296296,7,1
217,50646400,13478000,6351000.0,캐주얼,부산본점,9,3.0,0.074074074,23,0
218,5752750,1750000,,캐주얼,본  점,6,2.333333333,0.142857143,47,1
219,122892510,27025000,,기타,대전점,21,4.333333333,0.461538462,15,0
220,16874410,10704000,2645000.0,수산품,광주점,14,3.214285714,0.355555556,24,0
221,94186870,21480000,7950000.0,농산물,본  점,67,5.671641791,0.363157895,5,1
222,44513000,14400000,,육류,본  점,7,2.571428571,0.111111111,18,1
223,171326210,34500000,7663000.0,기타,본  점,39,3.58974359,0.257142857,8,0
224,930000,930000,,남성 캐주얼,영등포점,1,1.0,0.0,0,1
225,26011480,12936000,,가공식품,강남점,8,3.75,0.5,35,0
226,396256660,48040000,18244000.0,명품,본  점,69,3.826086957,0.287878788,5,0
227,16592200,16592200,,남성 트랜디,분당점,1,1.0,1.0,0,0
228,41896940,7605000,,가공식품,안양점,12,5.083333333,0.31147541,25,0
229,2763000,1568000,,아동,본  점,2,1.0,1.0,62,0
230,404538200,39018000,4440000.0,가공식품,동래점,40,3.6,0.1875,9,0
231,805120,325600,,농산물,강남점,2,4.5,0.777777778,20,0
232,40000,30000,,가공식품,본  점,1,3.0,1.0,0,1
233,274149780,88000000,,시티웨어,잠실점,52,3.038461538,0.46835443,6,0
234,12100000,12100000,,셔츠,본  점,1,1.0,1.0,0,1
235,56772170,3675000,6293200.0,농산물,관악점,95,6.378947368,0.301980198,3,0
236,9737000,5850000,,디자이너,부산본점,2,1.0,0.0,63,0
237,179968970,18172000,12348000.0,농산물,본  점,39,5.102564103,0.030150754,8,0
238,103305800,13057000,5808000.0,섬유잡화,관악점,21,2.761904762,0.293103448,14,0
239,47108540,14875000,,기타,본  점,23,2.130434783,0.306122449,15,1
240,34662500,33600000,,남성정장,본  점,2,1.0,0.5,95,0
241,121809800,9636000,8199100.0,스포츠,광주점,50,1.7,0.141176471,7,1
242,220184580,113664000,,가공식품,본  점,17,2.823529412,0.270833333,20,0
243,96766950,16660000,2000000.0,축산가공,분당점,19,3.0,0.385964912,18,0
244,31662000,27750000,,섬유잡화,광주점,2,2.0,0.75,15,1
245,105991880,38550000,,농산물,부산본점,67,3.089552239,0.285024155,5,0
246,123000,123000,,일용잡화,본  점,1,1.0,0.0,0,1
247,349113180,28800000,30766000.0,기타,분당점,69,3.362318841,0.448275862,5,0
248,10000,10000,,가공식품,잠실점,1,1.0,1.0,0,0
249,30162270,8665020,,기타,분당점,11,2.272727273,0.36,28,0
250,63696000,17550000,23459000.0,명품,본  점,21,1.095238095,0.260869565,12,1
251,61000,61000,,명품,본  점,1,1.0,0.0,0,1
252,139963420,14513000,10212000.0,가공식품,본  점,27,2.37037037,0.71875,12,0
253,807000,437000,,스포츠,분당점,1,3.0,0.0,0,0
254,4748600,12375000,12375000.0,스포츠,분당점,3,3.666666667,0.272727273,0,1
255,46969270,8008000,,기타,분당점,10,4.1,0.43902439,30,1
256,367329330,84945000,3360000.0,가공식품,인천점,37,5.702702703,0.236966825,9,0
257,11050000,6251000,,명품,본  점,3,1.666666667,0.6,89,1
258,51455300,8750000,,기타,잠실점,35,3.714285714,0.353846154,9,0
259,274763860,24928000,3974400.0,아동,본  점,30,3.9,0.418803419,11,0
260,13493000,5052000,,주류,잠실점,7,2.142857143,0.533333333,31,1
261,111713950,20000000,,아동,일산점,14,2.071428571,0.413793103,22,1
262,607800,408660,,기타,잠실점,1,5.0,1.0,0,1
263,29522130,6460000,,기타,본  점,79,2.64556962,0.392344498,4,1
264,11005000,4008000,,화장품,본  점,3,1.666666667,0.0,85,1
265,10042150,1400000,2310000.0,가공식품,본  점,27,3.111111111,0.011904762,13,0
266,32845400,17935400,,시티웨어,본  점,2,1.0,0.5,32,0
267,6801000,2950000,,남성 캐주얼,본  점,1,4.0,1.0,0,1
268,41358000,27808000,28648000.0,디자이너,본  점,12,1.25,0.2,20,0
269,11800000,11800000,,남성정장,청량리점,1,1.0,1.0,0,1
270,4319000,2072000,686000.0,가공식품,잠실점,4,2.25,0.0,46,0
271,30661250,9706000,,화장품,부산본점,9,2.0,0.222222222,39,0
272,10830000,10830000,,시티웨어,광주점,1,1.0,1.0,0,1
273,9936400,7326000,,농산물,잠실점,4,1.5,0.0,82,1
274,170000,90000,,가공식품,본  점,1,2.0,1.0,0,0
275,5200000,5200000,,피혁잡화,본  점,1,1.0,0.0,0,1
276,196138350,25100000,45593100.0,디자이너,본  점,40,2.1,0.154761905,8,0
277,199528710,24528000,235199200.0,가공식품,본  점,90,3.822222222,0.098837209,3,0
278,33583000,20000000,,수산품,영등포점,2,3.5,0.142857143,166,0
279,29303590,11600000,,농산물,영등포점,6,2.333333333,0.071428571,57,0
280,55462700,25783000,28287000.0,디자이너,본  점,10,2.3,0.391304348,33,0
281,263000,126000,,일용잡화,청량리점,1,4.0,0.0,0,0
282,83105400,16610000,,가공식품,부산본점,17,2.352941176,0.775,18,1
283,1915000,1680000,,생활잡화,부산본점,2,1.5,0.0,31,0
284,1968300,1470000,,수산품,노원점,4,1.25,0.6,66,1
285,2225000,2136000,,캐주얼,본  점,1,2.0,0.0,0,0
286,4141000,2604000,1725000.0,스포츠,분당점,2,3.5,0.0,2,1
287,1150000,1150000,,섬유잡화,본  점,1,1.0,1.0,0,1
288,870000,870000,,화장품,잠실점,1,1.0,1.0,0,0
289,713090,220000,,가공식품,분당점,5,2.8,0.0,19,0
290,227174910,18552000,,농산물,부평점,102,6.725490196,0.239067055,3,1
291,243821950,119520000,3080000.0,기타,분당점,13,4.076923077,0.603773585,26,0
292,987720920,52875000,14963000.0,화장품,대전점,137,2.321167883,0.399371069,2,1
293,2894000,2415000,,생활잡화,본  점,1,3.0,0.0,0,0
294,14018900,6900000,,축산가공,분당점,6,1.666666667,0.6,51,1
295,1163100,19125000,19125000.0,농산물,본  점,3,3.333333333,0.8,2,1
296,26592550,19584000,,농산물,부산본점,7,3.142857143,0.318181818,40,0
297,10500,5500,,가공식품,분당점,1,2.0,0.0,0,1
298,130214860,53544000,,가공식품,본  점,86,3.186046512,0.408759124,4,1
299,775790,143000,,가공식품,강남점,6,3.833333333,0.695652174,18,0
300,398583270,53429000,16399000.0,기타,일산점,33,2.666666667,0.306818182,10,0
301,836353880,71000000,21600000.0,명품,동래점,61,2.918032787,0.370786517,5,0
302,117141800,31656000,,화장품,부산본점,11,1.818181818,0.4,21,1
303,4325000,4325000,,화장품,잠실점,1,1.0,0.0,0,0
304,92774470,19624000,4290000.0,수산품,분당점,18,4.833333333,0.126436782,17,0
305,61154170,9614000,240000.0,가공식품,본  점,140,3.378571429,0.293868922,2,0
306,11510000,11250000,,골프,영등포점,2,1.5,1.0,41,0
307,13883100,12720000,,기타,인천점,1,7.0,0.0,0,1
308,497778300,33383000,2200000.0,기타,분당점,183,8.071038251,0.383886256,1,1
309,275349170,96000000,,가공식품,분당점,31,4.64516129,0.340277778,11,0
310,92197700,25000000,,남성 캐주얼,관악점,4,3.0,0.5,66,0
311,622000,360000,,화장품,잠실점,2,1.5,0.0,14,1
312,2640140,1236000,,차/커피,본  점,9,2.333333333,0.333333333,36,1
313,246086710,11100000,,기타,본  점,95,2.210526316,0.20952381,3,0
314,12474000,12474000,,디자이너,영등포점,1,1.0,0.0,0,1
315,1640200,4560000,4560000.0,캐주얼,일산점,6,1.666666667,0.6,39,0
316,35799650,7080000,,기타,본  점,22,2.954545455,0.215384615,15,1
317,5750000,5750000,,섬유잡화,잠실점,1,1.0,1.0,0,0
318,11883940,4150000,,수산품,분당점,9,1.888888889,0.294117647,28,0
319,2562000,1357000,,남성 캐주얼,영등포점,2,4.5,0.444444444,1,0
320,3811000,3531000,,수산품,본  점,2,1.5,0.0,2,0
321,99273720,13608000,,화장품,동래점,14,2.071428571,0.068965517,21,1
322,149659570,32500000,18486900.0,기타,본  점,83,2.445783133,0.24137931,4,0
323,233423330,28608000,,농산물,일산점,30,2.7,0.135802469,11,0
324,100482800,46410000,1955000.0,시티웨어,분당점,14,1.571428571,0.136363636,9,0
325,60230680,50450000,,농산물,분당점,15,3.266666667,0.244897959,21,0
326,6062000,5740000,,수산품,본  점,2,1.5,0.0,91,1
327,39641100,6900000,1394000.0,피혁잡화,분당점,19,1.578947368,0.166666667,17,0
328,78958920,40000000,,기타,일산점,15,5.6,0.619047619,23,0
329,92952300,12796000,12847800.0,기타,본  점,24,2.125,0.098039216,12,0
330,21763310,14080000,,농산물,영등포점,21,2.476190476,0.076923077,16,0
331,405244930,43050000,39012000.0,시티웨어,영등포점,69,3.942028986,0.220588235,5,0
332,1123720,490500,,농산물,분당점,4,3.25,0.538461538,29,1
333,459805300,28244000,56857600.0,기타,분당점,66,2.939393939,0.273195876,5,0
334,16330000,13530000,5784000.0,기타,분당점,5,4.6,0.0,50,0
335,6752000,1850000,,건강식품,잠실점,5,1.2,0.666666667,62,1
336,705000,660000,,주방용품,본  점,1,2.0,1.0,0,1
337,4191200,3500000,,화장품,영등포점,2,1.0,0.0,81,0
338,24762000,18524000,,수산품,본  점,4,1.25,0.4,55,0
339,204516400,93600000,10120000.0,시티웨어,광주점,22,1.363636364,0.2,12,0
340,28407850,4913000,3943400.0,구두,부산본점,13,3.538461538,0.02173913,13,0
341,66010670,12826000,15134000.0,가공식품,노원점,33,3.212121212,0.188679245,10,0
342,19510840,920000,2135000.0,기타,본  점,81,2.49382716,0.301980198,4,0
343,194000,170000,,차/커피,영등포점,2,1.0,0.0,133,1
344,1237750,345000,,가공식품,분당점,2,5.5,0.636363636,41,1
345,89133620,12882500,15157200.0,농산물,분당점,19,4.368421053,0.048192771,18,1
346,6743310,12374000,13898000.0,캐주얼,본  점,9,1.777777778,0.375,36,1
347,54791590,39840000,7499570.0,가공식품,본  점,17,8.0,0.220588235,16,1
348,86772800,28947600,,가공식품,대전점,8,3.375,0.259259259,43,0
349,3543500,2607500,,스포츠,분당점,2,1.5,0.0,107,1
350,24783000,8820000,975000.0,시티웨어,안양점,5,2.2,0.090909091,58,0
351,208214540,17175000,51852000.0,수산품,본  점,44,3.113636364,0.116788321,7,0
352,1800000,2200000,2200000.0,모피/피혁,관악점,3,1.333333333,0.0,79,0
353,4866400,3300000,,구두,영등포점,2,1.0,0.5,142,1
354,7975140,3105000,,기타,미아점,3,20.33333333,1.0,11,1
355,83408300,35625000,1224000.0,트래디셔널,본  점,14,1.571428571,0.136363636,20,1
356,58690340,13570000,,섬유잡화,본  점,25,1.84,0.826086957,13,0
357,186972200,58520000,,기타,본  점,23,4.347826087,0.5,15,1
358,21106340,11000000,4364000.0,구두,영등포점,6,3.666666667,0.272727273,43,0
359,3996000,3996000,,건강식품,영등포점,1,1.0,0.0,0,1
360,57396570,22704000,19504000.0,기타,미아점,37,2.675675676,0.474747475,9,1
361,3200840,5664000,6532000.0,가공식품,노원점,14,3.5,0.530612245,13,0
362,59701200,10017000,,명품,동래점,16,1.5625,0.16,22,1
363,600000,570000,,섬유잡화,본  점,1,2.0,0.0,0,0
364,37741300,4725000,,화장품,본  점,9,2.333333333,0.0,36,0
365,107932500,15375000,18500000.0,골프,청량리점,29,1.620689655,0.29787234,11,0
366,11641300,5390000,238000.0,가공식품,영등포점,14,1.928571429,0.444444444,23,0
367,61099210,15887500,,가공식품,본  점,19,3.210526316,0.0,18,1
368,107170,76550,,가공식품,본  점,1,3.0,0.0,0,1
369,48107250,6075000,,셔츠,본  점,13,2.538461538,0.787878788,23,1
